790 
27,357,b
33,212,b
30,80,b
33,449,b
39,528,b
47,607,b
117,617,b
215,616,b
312,607,b
325,515,b
317,427,b
316,356,b
314,287,b
309,202,b
302,138,b
306,55,b
290,23,b
243,285,b
181,284,b
98,291,b
394,613,b
452,610,b
520,607,b
594,610,b
621,513,b
663,513,b
715,513,b
763,504,b
812,502,b
854,500,b
649,618,b
717,621,b
776,619,b
839,613,b
690,568,b
806,565,b
1106,41,s
760,238,s
842,234,s
1009,228,s
1089,237,s
718,303,s
810,288,s
877,291,s
968,284,s
1078,280,s
1134,273,s
699,352,s
678,133,s
798,116,s
882,115,s
964,111,s
1049,115,s
1119,110,s
673,36,s
700,428,s
675,207,s
