1050,650 
229,479,b
224,527,b
321,492,b
304,552,b
402,523,b
373,577,b
335,626,s
437,610,s
508,631,s
573,633,s
542,554,s
573,584,s
620,566,s
653,583,s
660,516,s
609,488,s
724,515,s
708,482,s
741,448,s
700,417,s
786,433,s
798,393,s
777,341,s
825,366,s
862,343,s
880,363,s
891,303,s
922,285,s
955,252,s
975,221,s
928,196,s
1011,192,s
1047,220,s
1046,157,s
1010,122,s
842,272,s
968,288,s
827,227,s
791,192,s
751,187,s
727,121,s
757,94,s
647,67,s
634,24,s
473,19,b
445,83,b
374,112,b
357,175,b
302,179,b
294,227,b
240,230,b
234,280,b
177,290,b
169,350,b
122,341,b
123,395,b
67,396,b
45,442,b
63,482,b
126,510,b
105,311,s
906,488,s
1032,427,b
974,482,b
901,555,b
838,610,b
